i,r,etype,SO2,NOx,CO2,N2O,CH4
CoalOldUns,p01105,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p01033,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p20151,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p21017,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p47149,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13075,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p20101,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p40059,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p17147,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48107,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p01063,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p16033,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p19109,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p38013,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p37063,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p19085,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p31103,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p19187,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p17151,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p47159,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p51089,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p51510,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p19101,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p30049,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p49013,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p40003,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p48119,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p47169,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p21193,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p46039,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p41029,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p48507,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p31007,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p19121,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p12011,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13279,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p26151,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48397,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p26163,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p27105,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p27001,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p38071,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p37145,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p20195,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p28151,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48133,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p28055,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48123,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p48005,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p45081,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p29125,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p05001,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p29109,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p51540,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p17011,process,0.810920395,1.741454509,1.015740048,1.133786848,0.989486704
CoalOldUns,p39145,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p37115,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p16053,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p39163,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48309,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p16037,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p19089,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p12099,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13181,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
