r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p06041,4.6835,9.367,23.214,36.999,49.988,66.84,89.686,86.5987382,89.55721613,89.55721613,89.55721613,89.55721613,89.55721613,89.55721613,89.55721613,89.55721613,89.55721613,89.55721613,89.55721613,89.55721613,89.55721613
p06043,0.40125,0.8025,1.989,4.109,6.469,9.628,13.948,13.55979204,14.11276517,14.11276517,14.11276517,14.11276517,14.11276517,14.11276517,14.11276517,14.11276517,14.11276517,14.11276517,14.11276517,14.11276517,14.11276517
p06045,1.789,3.578,8.867,17.082,26.132,37.243,51.015,48.86940877,50.41580007,50.41580007,50.41580007,50.41580007,50.41580007,50.41580007,50.41580007,50.41580007,50.41580007,50.41580007,50.41580007,50.41580007,50.41580007
p06047,5.581,11.162,27.663,68.362,104.099,126.925,167.692,157.5633529,161.2372128,161.2372128,161.2372128,161.2372128,161.2372128,161.2372128,161.2372128,161.2372128,161.2372128,161.2372128,161.2372128,161.2372128,161.2372128
p06053,5.9955,11.991,29.717,56.399,82.509,108.434,145.691,138.5919061,142.7577477,142.7577477,142.7577477,142.7577477,142.7577477,142.7577477,142.7577477,142.7577477,142.7577477,142.7577477,142.7577477,142.7577477,142.7577477
p06055,3.27575,6.5515,16.237,38.864,46.345,58.439,79.3,75.42187269,77.72142067,77.72142067,77.72142067,77.72142067,77.72142067,77.72142067,77.72142067,77.72142067,77.72142067,77.72142067,77.72142067,77.72142067,77.72142067
p06057,2.32375,4.6475,11.518,23.485,37.998,56.764,77.723,73.52840662,75.52691203,75.52691203,75.52691203,75.52691203,75.52691203,75.52691203,75.52691203,75.52691203,75.52691203,75.52691203,75.52691203,75.52691203,75.52691203
p06061,8.095,16.19,40.124,87.201,142.944,183.639,240.967,227.4407319,233.195013,233.195013,233.195013,233.195013,233.195013,233.195013,233.195013,233.195013,233.195013,233.195013,233.195013,233.195013,233.195013
p06063,0.61975,1.2395,3.072,5.793,8.39,11.36,15.825,15.36027083,15.97442283,15.97442283,15.97442283,15.97442283,15.97442283,15.97442283,15.97442283,15.97442283,15.97442283,15.97442283,15.97442283,15.97442283,15.97442283
p06067,17.4435,34.887,86.46,125.664,172.242,211.169,274.814,263.0139829,273.4543264,273.4543264,273.4543264,273.4543264,273.4543264,273.4543264,273.4543264,273.4543264,273.4543264,273.4543264,273.4543264,273.4543264,273.4543264
p06069,0.7885,1.577,3.908,6.379,9.242,13.274,18.577,18.10390622,18.93870553,18.93870553,18.93870553,18.93870553,18.93870553,18.93870553,18.93870553,18.93870553,18.93870553,18.93870553,18.93870553,18.93870553,18.93870553
p06075,13.88775,27.7755,68.836,96.087,119.619,151.911,200.635,193.0109178,200.1026519,200.1026519,200.1026519,200.1026519,200.1026519,200.1026519,200.1026519,200.1026519,200.1026519,200.1026519,200.1026519,200.1026519,200.1026519
p06077,11.86025,23.7205,58.786,124.131,190.656,246.641,326.598,308.7116061,316.5072395,316.5072395,316.5072395,316.5072395,316.5072395,316.5072395,316.5072395,316.5072395,316.5072395,316.5072395,316.5072395,316.5072395,316.5072395
p06079,4.87025,9.7405,24.14,40.617,59.969,88.078,121.856,116.876824,120.7874206,120.7874206,120.7874206,120.7874206,120.7874206,120.7874206,120.7874206,120.7874206,120.7874206,120.7874206,120.7874206,120.7874206,120.7874206
p06081,11.25325,22.5065,55.778,95.328,126.016,168.665,227.949,219.1352316,227.1729858,227.1729858,227.1729858,227.1729858,227.1729858,227.1729858,227.1729858,227.1729858,227.1729858,227.1729858,227.1729858,227.1729858,227.1729858
p06083,7.0005,14.001,34.699,58.585,89.97,127.993,178.35,171.7086582,178.6410021,178.6410021,178.6410021,178.6410021,178.6410021,178.6410021,178.6410021,178.6410021,178.6410021,178.6410021,178.6410021,178.6410021,178.6410021
p06085,33.872,67.744,167.889,271.479,383.603,509.762,666.98,637.1947582,656.7350236,656.7350236,656.7350236,656.7350236,656.7350236,656.7350236,656.7350236,656.7350236,656.7350236,656.7350236,656.7350236,656.7350236,656.7350236
p06087,4.7205,9.441,23.398,44.165,67.512,89.624,120.953,114.6144743,117.8606791,117.8606791,117.8606791,117.8606791,117.8606791,117.8606791,117.8606791,117.8606791,117.8606791,117.8606791,117.8606791,117.8606791,117.8606791
