sc_point_gid,fed_frac
53591,1.0
53592,1.0
53597,0.000833
53598,0.0
53599,0.0
53600,0.0
53601,0.0
53602,0.0
53603,0.0
53604,0.0
53605,0.0
53606,0.0
53607,0.0
53608,0.031103
53609,0.135827
53610,0.061903
53611,8.5e-05
53612,0.0
53613,0.224147
53614,0.112055
53615,0.0
53616,0.0
53617,0.0
53618,0.002407
53619,0.0
53620,0.0
53621,0.004481
53622,0.021064
53623,0.0
53624,0.134776
53625,0.26738
53626,0.072247
53627,0.027737
53628,0.579528
53629,0.36176
53630,0.533669
53631,0.240689
53632,0.014489
53633,0.071486
53634,0.162519
53635,0.0
53636,0.0
53637,0.0
53638,0.0002
53639,0.0
53640,0.0
53641,0.0
53642,0.0
53643,0.0
53644,0.0
53645,0.0
53646,0.0
53647,0.0
53648,0.001625
53649,0.0
53650,0.0
53651,0.0
53652,0.0
53653,0.0
53654,0.0
53655,0.0
53656,0.0
53657,0.0
53659,0.0
53660,0.0
53661,0.0
53662,0.0
53663,0.0
53664,0.0
53665,0.0
53666,0.0
53667,0.0
53668,0.0
53669,0.0
53670,0.0
53671,0.0
53672,0.0
53673,0.0
53674,0.0
53675,0.0
53676,0.0
53677,0.0
53678,0.0
53679,0.0
53680,0.0
53681,0.0
53682,0.0
53683,0.0
53684,0.0
53687,0.0
53688,0.0
53689,0.0
53690,0.0
53691,0.010599
53692,0.0
53693,0.0
53694,0.0
53695,0.0
53696,0.0
53697,0.0
53698,0.0
53701,0.0
53702,0.0
53703,0.0
53706,0.0
53707,0.0
53708,0.0
53709,0.0
53710,0.0
53877,0.0
53878,0.0
53879,0.0
53880,0.0
53881,0.0
53882,0.0
53883,0.0
53884,0.0
53885,0.0
53886,0.0
53887,0.0
53888,0.0
53889,0.0
53890,0.0
53891,0.0
53892,0.0
54204,0.0
54205,0.0
54206,0.0
54207,0.0
54208,0.0
54209,0.0
54210,0.0
54211,0.0
54212,0.0
54213,0.0
54214,0.0
54215,0.0
54216,0.001317
54217,0.002721
54218,0.003361
54219,0.0875
54222,1.0
54224,0.0
54225,0.102332
54226,0.0
54227,0.009454
54228,0.243214
54229,0.660213
54230,1.0
54231,1.0
