sc_point_gid,fed_frac
46722,0.000532
46723,0.015427
46724,0.0
46725,0.099348
46726,0.738239
46727,1.0
46728,0.632547
46729,0.944962
46730,1.0
46731,0.691415
46732,0.0
46733,1.0
46734,0.185861
46735,0.009003
46736,0.275719
46737,0.728962
46738,1.0
46739,1.0
46741,1.0
46742,1.0
46743,0.85972
46744,0.214277
46747,1.0
46748,1.0
46753,0.000371
46755,0.0
47039,0.0
47040,0.0
47041,0.0
47045,0.0
47046,0.0
47047,0.0
47048,0.0
47366,0.0
47367,0.0
47368,0.0
47369,0.0
47370,0.0
47371,0.0
47372,0.0
47373,0.0
47374,0.0
47375,0.0
47376,0.0
47377,0.0
47378,0.0
47379,0.0
47380,0.0
47381,0.0
47382,0.0
47383,0.0
47385,0.419664
47386,1.0
47387,1.0
47388,1.0
47389,1.0
47390,1.0
47391,0.518828
47392,0.836866
47393,0.016736
47394,0.124027
47395,0.000382
47396,0.0
47397,0.0
47398,0.0
47399,0.0
47400,0.0
47401,0.0
47402,0.0
47403,0.0
47404,0.0
47405,0.0
47406,0.03162
47407,0.005309
47408,0.0
47409,0.0
47410,0.462126
47411,0.701396
47412,0.19657
47413,1.0
47414,1.0
47415,0.290608
47416,0.06462
47417,0.086316
47418,0.132454
47419,0.792843
47420,1.0
47421,1.0
47422,1.0
47423,1.0
47424,1.0
47425,1.0
47427,0.325204
47428,0.673548
47429,0.657917
47430,0.0
47431,1.0
47432,1.0
47433,1.0
47437,0.0
47438,0.0
47439,0.0
47440,0.0
47441,0.0
47442,0.0
47443,0.0
47444,0.0
47445,0.0
47723,0.0
47724,0.0
47725,0.0
47727,0.0
47728,0.0
47729,0.0
47730,0.0
47731,0.0
47732,0.0
47733,0.0
48051,0.0
48052,0.0
48053,0.0
48054,0.0
48055,0.0
48056,0.0
48057,0.0
48058,0.0
48060,0.0
48061,0.0
48062,0.0
48063,0.0
48064,0.0
48065,0.001183
48066,0.0
48073,0.891953
48074,1.0
48075,0.424093
48076,0.371677
48077,0.091618
48078,0.001768
48079,0.0
48080,0.0
48081,0.0
48082,0.0
48083,0.004178
48084,0.000849
48085,0.04528
48086,0.00339
48087,0.0
48088,0.00061
48089,0.032674
48090,0.007209
48091,0.0
48092,0.012221
48093,0.0
48094,0.220471
48095,0.574888
48096,0.224481
48097,0.873722
48098,1.0
48099,0.203549
48100,0.015834
48101,0.000269
48102,0.03304
48103,0.01809
48104,1.0
48105,1.0
48106,1.0
48107,0.959484
48108,1.0
48109,1.0
48110,1.0
48111,1.0
48112,0.537095
48113,0.487982
48114,0.0
48115,1.0
48116,1.0
48117,1.0
48121,0.000486
48122,0.0
48123,0.0
48124,0.0
48125,0.0
48126,0.0
48127,0.0
48128,0.0
48129,0.0
48130,0.0
48131,0.0
48132,0.0
48133,0.0
48134,0.0
48135,0.0
48407,0.0
48408,0.0
48409,0.0
48410,0.0
48411,0.0
48412,0.0
48413,0.0
48414,0.0
48415,0.0
48416,0.0
48417,0.012314
48418,0.0
48736,0.0
48737,0.0
48738,0.0
48739,0.0
48740,0.0
48741,0.0
48742,0.0
48743,0.0
48744,0.051146
48745,0.0
48746,0.0
48747,0.0
48748,0.0
48749,0.003747
48750,0.0
48751,1.0
48752,1.0
48757,0.060886
48758,0.295077
48759,0.133511
48760,0.062814
48761,0.0
48762,0.0
48763,0.0
48764,0.0
48765,0.0
48766,0.0
48767,0.0
48768,0.0
48769,0.004481
48770,0.113536
48771,0.023396
48772,0.0
48773,0.004249
48774,0.002037
48775,0.0
48776,0.0
48777,0.0
48778,0.056229
48779,0.134464
48780,0.0
48781,0.024562
48782,0.075557
48783,0.111861
48784,0.0
48785,0.0
48786,0.173233
48787,1.0
48788,1.0
48789,1.0
48790,1.0
48791,0.946239
48792,1.0
48793,0.906179
48794,1.0
48795,1.0
48796,1.0
48797,0.54478
48798,0.148083
48799,0.0
48800,1.0
48801,1.0
48805,0.004805
48806,0.0
48807,0.0
48808,0.0
48809,0.0
48810,0.0
48811,0.0
48812,0.0
48813,0.0
48814,0.000963
48815,0.005881
48816,0.0
48817,0.0
48818,0.0
48819,0.0
48820,0.000149
48821,0.0
48822,0.0
48823,0.0
48824,0.0
48826,0.0
49090,0.0
49091,0.0
49092,0.0
49093,0.0
49094,0.0
49095,0.0
